District,Sum of RAPE,Sum of OTHER IPC CRIMES,Sum of CAUSING DEATH BY NEGLIGENCE,Sum of IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,Sum of DOWRY DEATHS,Sum of HURT/GREVIOUS HURT,Sum of CRUELTY BY HUSBAND OR HIS RELATIVES,Sum of ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Sum of INSULT TO MODESTY OF WOMEN,Sum of ARSON,Sum of COUNTERFIETING,Sum of CHEATING,Sum of CRIMINAL BREACH OF TRUST,Sum of RIOTS,Sum of AUTO THEFT,Sum of OTHER THEFT,Sum of BURGLARY,Sum of KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,Sum of THEFT,Sum of ROBBERY,Sum of PREPARATION AND ASSEMBLY FOR DACOITY,Sum of KIDNAPPING & ABDUCTION,Sum of KIDNAPPING AND ABDUCTION OF OTHERS,Sum of DACOITY,Sum of CUSTODIAL RAPE,Sum of MURDER,Sum of CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Sum of OTHER RAPE,Sum of ATTEMPT TO MURDER,Grand Total,Lat,Long,Lat-Long
AHMEDNAGAR,653,16686,6858,0,91,8397,5571,1278,28,505,82,2023,489,4742,4476,9929,5248,354,14405,1543,119,514,160,477,0,1210,28,653,815,87334,19.09,74.75,"(19.09,74.75)"
AKOLA,299,14930,1514,0,74,9586,1768,1109,357,421,107,1023,245,1513,1506,9256,3351,281,10762,658,14,312,31,113,0,588,21,299,576,60714,20.72,77.05,"(20.72,77.05)"
AMRAVATI,878,21795,2834,0,99,15164,2410,2053,627,873,74,1126,414,2208,2747,17696,6144,450,20443,867,61,503,53,153,0,1066,53,878,737,102406,20.95,77.78,"(20.95,77.78)"
AURANGABAD,415,15863,4564,0,394,13745,4472,1234,384,584,40,2247,380,4333,4649,9097,5154,313,13746,1453,131,440,127,334,0,1058,31,415,851,86454,19.86,75.29,"(19.86,75.29)"
BEED,322,9117,2933,0,112,11603,3542,995,129,563,16,925,309,4587,1699,5420,3577,259,7119,914,60,419,160,391,0,832,33,322,643,57001,19.04016516,75.75318928,"(19.04016516,75.75318928)"
BHANDARA,338,9711,1586,0,36,4368,786,629,320,420,46,437,154,774,672,4854,2315,121,5526,198,8,146,25,28,0,343,34,338,147,34360,21.16,79.65,"(21.16,79.65)"
BULDHANA,381,12853,2409,0,320,9240,2422,1442,406,795,52,960,268,2432,1323,7273,2541,223,8596,415,23,269,46,170,0,635,25,381,535,56435,20.54,76.19,"(20.54,76.19)"
CHANDRAPUR,469,13706,2737,0,62,7347,1617,1246,857,539,38,713,290,1383,1394,6891,3480,219,8285,379,22,262,43,80,0,613,46,469,327,53514,22.28,79.67,"(22.28,79.67)"
DHULE,178,8667,2910,0,66,4450,2080,361,96,143,19,777,288,1678,1118,3040,1675,114,4158,290,27,122,8,247,0,538,17,178,363,33608,20.9,74.8,"(20.9,74.8)"
GADCHIROLI,245,4326,911,0,14,2787,510,495,100,559,13,144,119,317,207,1399,1161,95,1606,123,5,116,21,104,0,694,33,245,482,16831,20.17,79.98,"(20.17,79.98)"
GONDIA,348,7097,1327,0,35,4249,668,965,246,291,44,386,135,495,631,3369,2278,197,4000,207,10,210,13,67,0,432,17,348,207,28272,21.49,80.13,"(21.49,80.13)"
HINGOLI,175,5493,996,0,40,5277,1223,465,70,302,8,396,87,1381,353,1847,1136,101,2200,391,18,127,26,83,0,430,12,175,296,23108,19.73,77.13,"(19.73,77.13)"
JALGAON,485,15214,4233,0,115,8827,4273,1233,404,251,66,2505,901,2825,1911,6660,2925,266,8571,566,28,338,72,272,0,1007,27,485,636,65096,21.37,75.31,"(21.37,75.31)"
JALNA,193,7829,1707,0,271,6936,3092,687,109,325,16,892,160,2110,1152,3379,2254,133,4531,623,51,182,49,166,0,594,17,193,417,38068,19.83,75.87,"(19.83,75.87)"
KOLHAPUR,348,11557,3816,0,245,6311,1273,675,178,208,47,2470,975,2521,3125,5323,3294,196,8448,444,24,301,105,167,0,719,29,348,495,53642,16.67,74.24,"(16.67,74.24)"
LATUR,231,11722,2274,0,387,10297,1738,701,25,401,32,937,210,2518,1450,3177,2456,300,4627,500,36,302,2,137,0,718,15,231,442,45866,18.4,76.56,"(18.4,76.56)"
MUMBAI,2193,80304,8450,1,175,47224,3931,4852,1305,256,1312,20679,5863,3432,44198,117707,34115,1328,161905,5633,615,2183,855,460,0,2893,77,2193,1821,555960,19.12,72.85,"(19.12,72.85)"
NAGPUR,1133,51551,7750,0,159,19785,3343,2075,1281,882,329,3863,1072,4149,12530,37316,15898,719,49846,3854,503,948,229,374,0,2163,106,1133,1182,224173,21.1,79.05,"(21.1,79.05)"
NANDED,396,19659,2292,0,289,15343,3202,962,86,743,40,1600,293,3266,1473,4818,4347,348,6291,907,75,455,107,278,0,992,42,396,918,69618,19.03,73.17,"(19.03,73.17)"
NANDURBAR,221,4412,1308,0,17,3071,996,347,81,65,20,422,117,1089,485,1572,865,92,2057,126,8,110,18,88,0,427,8,221,188,18431,21.37,74.23,"(21.37,74.23)"
NASIK,746,23451,9035,0,131,12719,5515,1452,590,436,189,3041,945,5842,8064,12119,8077,385,20183,1353,129,555,170,481,0,1463,48,746,848,118713,20.02,73.69,"(20.02,73.69)"
NAVI MUMBAI,260,9591,4277,0,54,4972,818,449,194,64,91,3013,776,1449,7937,8749,5493,120,16686,1673,215,243,123,200,0,638,17,260,302,68664,19.15256945,72.93770339,"(19.15256945,72.93770339)"
OSMANABAD,308,9183,2617,0,23,7922,1712,752,106,301,4,1079,233,1990,789,3577,2248,155,4366,344,23,211,56,216,0,547,15,308,276,39361,18.11,76.02,"(18.11,76.02)"
PARBHANI,240,3953,1336,0,80,11617,2103,680,73,343,18,780,128,1777,1035,2756,2481,141,3791,636,29,246,105,197,0,587,16,240,483,35871,19.23,76.79,"(19.23,76.79)"
PUNE,1532,50300,16594,1,187,22028,4688,2203,1310,569,309,8664,1627,9882,34181,32570,18993,1106,66751,5027,605,1591,485,772,1,2967,172,1531,1838,288484,18.53,73.8,"(18.53,73.8)"
RAIGAD,253,7637,3641,0,56,3186,608,467,120,111,63,901,288,1586,717,3246,1902,80,3963,289,41,124,44,208,0,536,13,253,258,30591,18.33,72.95,"(18.33,72.95)"
RATNAGIRI,240,4843,1574,0,9,2312,542,417,235,243,47,571,277,1003,410,2290,1737,70,2700,168,10,101,31,50,0,225,17,240,100,20462,16.99,73.33,"(16.99,73.33)"
SANGLI,429,7412,3482,0,107,4969,1103,627,120,343,64,1921,279,1725,1940,4499,2573,148,6439,316,30,275,127,117,0,815,28,429,335,40652,17.43,74.7,"(17.43,74.7)"
SATARA,370,13679,4839,0,73,5545,2161,751,146,307,58,1453,548,2114,3026,6769,4140,234,9795,898,49,327,93,279,1,728,46,369,394,59192,17.69,74.03,"(17.69,74.03)"
SINDHUDURG,98,2661,880,0,10,1586,105,198,120,148,19,391,135,493,217,1124,1128,42,1341,93,2,60,18,25,0,154,15,98,69,11230,16.14416991,73.60991782,"(16.14416991,73.60991782)"
SOLAPUR,818,18241,6295,0,91,10055,2534,1047,263,473,75,2074,421,4014,3832,7394,4888,402,11226,1199,121,574,172,411,0,1338,68,818,812,79656,17.2,75.9,"(17.2,75.9)"
THANE,1533,25141,11028,0,176,26094,4752,2868,810,540,363,9836,1765,6706,15921,22476,20126,972,38397,4206,492,1558,586,794,0,3072,145,1533,1449,203339,19.18,72.98,"(19.18,72.98)"
WARDHA,410,16073,1883,0,34,9289,1055,1218,391,636,48,612,221,1268,849,7209,3003,255,8058,449,35,274,19,72,0,515,43,410,346,54675,20.78,78.59,"(20.78,78.59)"
WASHIM,217,6761,1056,0,91,5368,1454,765,146,334,22,341,94,1140,654,4038,1349,180,4692,302,10,205,25,87,0,359,19,217,276,30202,20.13,77.13,"(20.13,77.13)"
YAVATMAL,631,18642,2667,0,126,12091,2296,1521,397,541,35,700,260,1502,1561,9736,3265,454,11297,675,28,498,44,77,0,871,76,631,725,71347,20.4,78.12,"(20.4,78.12)"
