State,Rape,Kidnapping and Abduction,Property Theft,Corruption,Sexual Harrasment,Complaints Against Police,Auto Theft,Dowry Deaths,Molestation,Cruelty by Husband and Relatives,Murder
Andaman & Nicobar Islands,84,76,2589,27,139,1823,147,22,1316,293,137
Andhra Pradesh,10696,17287,487666,2747,45794,111960,87783,15260,84665,187279,27481
Arunachal Pradesh,412,682,11340,10,81,2732,1184,0,2868,580,703
Assam,12762,20363,150172,91,276,2933,14089,2364,21145,47565,12761
Bihar,11263,28180,237858,684,671,27726,26309,36232,20893,53295,34675
Chandigarh,228,510,27454,72,434,7236,9728,95,811,2300,202
Chhattisgarh,9751,2423,134312,351.1111111,6201,47848,22392,3610,80450,39437,10787
Dadra & Nagar Haveli,49,123,1906,2,14,9,310,16,191,213,87
Daman & Diu,14,27.5,1295,1,13,15,386.6666667,12,33,116,58.88888889
Delhi,5171,18217,324276,588,5044,116696,120045,8025,25980,16223,5396
Goa,270,200,12836,32,295,4242,2972,84,721,562,412
Gujarat,3339,12009,350352,1928,8312,89045,105456,5294,66781,279668,12757
Haryana,5009,6426,218328,1758,13783,33601,81598,7830,20044,54056,8793
Himachal Pradesh,1453,1437,21899,680,1100,13520,3648,304,13407,12653,1269
Jammu & Kashmir,2228,7533,48812,617,11781,66137,8362,381,34281,2663,7339
Jharkhand,7563,5966,106118,370,367,38311,15859,6871,12610,19057,15682
Karnataka,3917,7452,327887,2642,1552,33395,87526,8161,51809,62718,16891
Kerala,5308,2371,147359,1551,5776,82588,25229,1598,91364,130183,4208
Lakshadweep,7,10,230,7,0,6,46,0,12,11,13.33333333
Madhya Pradesh,29257,9582,493815,1186,23415,329883,99357,24376,302004,137140,23694
Maharashtra,14505,12735,925000,4638,74530,137731,175724,34979,243308,496206,28693
Manipur,273,1618,6120,23,0,72,1834,0,76,28,2204
Meghalaya,739,558,10324,7,33,1496,1407,22,1445,139,1485
Mizoram,646,85,22894,30,6,539,886,6,1181,37,358
Nagaland,176,396,6740,45,7,708,2450,0,148,19,956
Odisha,8860,7061,164178,3123,9635,15890,22386,13376,114581,59460,11762
Puducherry,57,144,10755,33,758,624,5580,117,1716,236,303
Punjab,4307,6227,118356,2606,1178,149211,29084,4233,8072,26938,8172
Rajasthan,11954,24313,305291,3795,1541,145494,93430,16684,102214,190351,13176
Sikkim,149,67.77777778,2140,148,44,1121,136,0,171,54,151
Tamil Nadu,5549,11514,387006,2024,16702,56025,89796,7603,46245,37840,16876
Tripura,1626,1523,8903,15,29,4997,702,752,5377,12168,1867
Uttar Pradesh,15053,41952,365508,797.7777778,82022,272862,111634,85205,86708,164496,58810
Uttarakhand,1101,2245,28046,51,4113,33610,6924,2536,4280,9112,2751
West Bengal,16378,16709,229001,6,1114,7822,35867,17675,82848,439338,16959
